Folder,Subjective Quality
put_eggplant_into_pot_s57,4.786576259426955
put_eggplant_into_pot_s58,4.778681859737489
put_eggplant_into_pot_s59,4.777382001644227
put_eggplant_into_pot_s60,4.803847033803056
put_eggplant_into_pot_s61,4.827429155024086
put_eggplant_into_pot_s62,4.841387190469882
put_eggplant_into_pot_s63,4.774758897176603
put_eggplant_into_pot_s64,4.766494018275563
put_eggplant_into_pot_s65,4.730640271814858
put_eggplant_into_pot_s66,4.766757779005097
put_eggplant_into_pot_s67,4.809470130176079
put_eggplant_into_pot_s68,4.8179561219564295
put_eggplant_into_pot_s69,4.847565650939941
put_eggplant_into_pot_s70,4.827930927276611
put_eggplant_into_pot_s71,4.786740256518852
stack_blue_cup_on_pink_cup_s42,4.5445970209633435
stack_blue_cup_on_pink_cup_s43,4.413921949340076
stack_blue_cup_on_pink_cup_s44,4.436442351922756
stack_blue_cup_on_pink_cup_s45,4.4238496291928175
stack_blue_cup_on_pink_cup_s46,4.565431176162347
stack_blue_cup_on_pink_cup_s47,4.394834332349824
stack_blue_cup_on_pink_cup_s48,4.381880841604093
stack_blue_cup_on_pink_cup_s49,4.460212765670404
stack_blue_cup_on_pink_cup_s50,4.389432407006985
stack_blue_cup_on_pink_cup_s51,4.402492185918296
stack_blue_cup_on_pink_cup_s52,4.426279882105385
stack_blue_cup_on_pink_cup_s53,4.4721859489999165
stack_blue_cup_on_pink_cup_s54,4.41527980711402
stack_blue_cup_on_pink_cup_s55,4.56957681004594
stack_blue_cup_on_pink_cup_s56,4.43548867760635
stack_blue_cup_on_pink_cup_s57,4.374768152469542
stack_blue_cup_on_pink_cup_s58,4.492969978146437
stack_blue_cup_on_pink_cup_s59,4.4048920724450085
stack_blue_cup_on_pink_cup_s60,4.462568213300007
stack_blue_cup_on_pink_cup_s61,4.3839626893764585
stack_blue_cup_on_pink_cup_s62,4.33972905321819
stack_blue_cup_on_pink_cup_s63,4.550390034187131
stack_blue_cup_on_pink_cup_s64,4.374603899513803
stack_blue_cup_on_pink_cup_s65,4.238704030106708
stack_blue_cup_on_pink_cup_s66,4.391552925109863
stack_blue_cup_on_pink_cup_s67,4.504448518520448
stack_blue_cup_on_pink_cup_s68,4.515286108342613
stack_blue_cup_on_pink_cup_s69,4.356871639809957
stack_blue_cup_on_pink_cup_s70,4.463460550075624
stack_blue_cup_on_pink_cup_s71,4.396982937324338
